VariationCategory;VariationCategory;VariationSubCategory;Subcase;Description;Example;Severity
Individuals;Character Replacement;phonetic_replacement;replace_x_j;;XHEMAJLI, Emrush - > Emrush Jhemajli;Low
Individuals;Character Replacement;phonetic_replacement;replace_j_x;;OROPEZA MEDRANO, Francisco Javier -> Francisco Xavier Oropeza Medrano;Low
Individuals;Character Replacement;phonetic_replacement;replace_v_f;;TADIC, Miroslav -> Miroslaf Tadic;Low
Individuals;Character Replacement;phonetic_replacement;replace_f_v;;AL-TIKRITI, Hani abd-al-Latif Tilfah -> Hani abd-al-Lativ Tilfah al-Tikriti;Low
Individuals;Character Replacement;phonetic_replacement;replace_c_k;;MADURO GUERRA, Nicolas Ernesto -> Nikolas Ernesto Maduro Guerra;Low
Individuals;Character Replacement;phonetic_replacement;replace_k_c;;GRANKO ARTEAGA, Alexander Enrique -> Alexander Enrique Granco Arteaga;Low
Individuals;Character Replacement;typographic_error;replace_t_y;;MICHIELSEN, Tom -> Yom Michelsen;Low
Individuals;Character Replacement;typographic_error;replace_y_t;;BELTRAN ROMERO, Mireya Denisse -> Mireta Denisse Beltran Romero;Low
Individuals;Character Replacement;typographic_error;replace_o_p;;MICHIELSEN, Tom ->  Tpm Michelsen;Low
Individuals;Character Replacement;typographic_error;replace_p_o;;FITCH PARENTE, Pablo Antonio -> Pablo Antonio Fitch Oarente;Low
Individuals;Character Replacement;typographic_error;replace_d_e;;GRANKO ARTEAGA, Alexander Enrique -> Alexaneer Enrique Granko Arteaga;Low
Individuals;Character Replacement;typographic_error;replace_e_d;;GRANKO ARTEAGA, Alexander Enrique -> Alexander Enriqud Granko Arteaga;Low
Individuals;Character Replacement;typographic_error;replace_f_d;;CADENA COLLAZOS, Francisco Antonio -> Francisco Antonio Cadena Collazos;Low
Individuals;Character Replacement;typographic_error;replace_d_f;;RANGEL SILVA, Henry de Jesus -> Henry fe Jesus Rangel Silva;Low
Individuals;Character Replacement;typographic_error;replace_r_f;;TREJO FREIRE, Efrain Pablo -> Efrain Pablo Trejo Freife;Low
Individuals;Character Replacement;typographic_error;replace_f_r;;TREJO FREIRE, Efrain Pablo -> Efrain Pablo Trejo Rreire;Low
Individuals;Character Replacement;typographic_error;replace_e_r;;RANGEL SILVA, Henry de Jesus -> Henry de Jrsus Rangel Silva;Low
Individuals;Character Replacement;typographic_error;replace_r_e;;GRANKO ARTEAGA, Alexander Enrique -> Alexander Enrique Geanko Arteaga;Low
Individuals;Character Replacement;alphabet_alternative;replace_n_ñ;;VALLEJO FRANCO, Inigo -> Iñigo Vallejo Franco;Low
Individuals;Character Replacement;alphabet_alternative;replace_ñ_n;;VALLEJO FRANCO, Iñigo -> Inigo Vallejo Franco;Low
Individuals;Character Replacement;character_replacement-uncommon;character_replacement-uncommon;Random character replacement not consider in particular cases;VALLEJO FRANCO, Inigo -> Inigq Vallejo Franco;Medium
Individuals;Character Reduction;phonetic_miss;remove_h;;FADLALLAH, Shaykh Muhammad Husayn -> Saykh Muhammad Husayn Fadlallah;Low
Individuals;Character Reduction;phonetic_miss;remove_c_before_k;;CHINAMASA, Patrick -> Patrik Chinamasa;Low
Individuals;Character Reduction;phonetic_miss;remove_e_before_s;;ESPARRAGOZA MORENO, Juan Jose -> Juan Jose Sparragoza Moreno;Low
Individuals;Character Reduction;phonetic_miss;remove_final_s;;AL-MUHAMMAD, Khamis Sirhan -> Khami Sirhan al-Muhammad;Low
Individuals;Character Reduction;phonetic_miss;remove_final_z;;MENDEZ SALAZAR, John Jairo -> John Jairo Mende Salazar;Low
Individuals;Character Reduction;phonetic_miss;remove_final_d;;SIEIRO DE NORIEGA, Felicidad -> Felicidad Sieiro de Noriega;Low
Individuals;Character Reduction;character_reduction_uncommon;character_reduction_uncommon;;MENDEZ SALAZAR, John Jairo -> John Jair Mendez Salazar;Medium
Individuals;Transposition;phonetic_transposition;transpose_e_d;;BENHAMMEDI, Mohammed -> Mohammde Benhammedi;Low
Individuals;Transposition;phonetic_transposition;transpose_d_e;;HERNANDEZ ARBOLEDA, Sandra Milena -> Sandra Milena Hernanedz Arboleda;Low
Individuals;Transposition;phonetic_transposition;transpose_e_i;;AL-AWADI, Hussein Qaid -> Hussien Qaid al-Awadi;Low
Individuals;Transposition;phonetic_transposition;transpose_i_e;;ARELLANO FELIX, Francisco Javier -> Francisco Javier Arellano Felix;Low
Individuals;Transposition;phonetic_transposition;transpose_a_e;;NYAMBUYA, Michael Rueben -> Micheal Rueben Nyambuya;Low
Individuals;Transposition;phonetic_transposition;transpose_e_a;;ZHUWAO, Beauty Lily -> Beauty Lily Zhuwao;Low
Individuals;Transposition;transposition_uncommon;transposition_uncommon;;AL-AWADI, Hussein Qaid -> Hussein Qaid al-Waadi;Medium
Individuals;Double Characters;double_character_reduction;double_character_reduction;;MENDEZ SALAZAR, John Jairo -> John Jair Mendez Salazzar;Medium
Individuals;Double Characters;double_character_insertion;double_character_insertion;;AL-AWADI, Husein Qaid -> Hussein Qaid al-Waadi;Low
Individuals;Spaces;space_reduction;space_reduction;;MENDEZ SALAZAR, John Jairo -> John Jairo MendezSalazar;Medium
Individuals;Spaces;space_insertion;space_insertion;;MENDEZ SALAZAR, John Jairo -> John Jairo Men dez Salazar;Medium
Individuals;Name Order;transposition_name;transposition_name;;MENDEZ SALAZAR, John Jairo -> John Jairo Salazar Mendez ;Medium
Individuals;Name Order;random_name_transposition;random_name_transposition;;MENDEZ SALAZAR, John Jairo -> Salazar John Mendez Jairo ;Medium
Individuals;Titles;title_insertion;title_insertion;;MENDEZ SALAZAR, John Jairo -> Mr. John Jairo Salazar Mendez ;Medium
Individuals;Titles;title_removal;title_removal;;MENDEZ SALAZAR, Mr. John Jairo -> John Jairo Salazar Mendez ;Medium
Individuals;Missing Name Component;name_component_deletion;name_component_deletion;;MENDEZ SALAZAR, John Jairo -> John Jairo Salazar;High
Individuals;Also Known As;firstname_alias;firstname_alias;;HERRERA BUITRAGO, Helmer -> Pacho Herrera Buitrago;High
Individuals;Also Known As;fullname_alias;fulltime_alias;;HERRERA BUITRAGO, Helmer -> Pacho;Very High
